Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
9/28/2023 7:21:00 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,123,30,2,346.47
8/31/2023 10:47:13 AM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,117,32,2,429.12
9/17/2023 1:53:14 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,C114,32,2,653.95
9/3/2023 7:15:59 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,415,15,2,267.05
8/31/2023 1:10:59 AM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,144,32,2,346.47
9/20/2023 4:29:44 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,312,15,2,454.37
8/30/2023 6:17:13 AM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,320,13,2,262.95
9/8/2023 2:14:40 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,326,12,2,269
9/9/2023 1:52:30 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,127,33,2,379
11/14/2023 3:25:40 PM -05:00,Dallas Cowboys vs. Philadelphia Eagles,12/10/23 0:00,19:20:00,C112,17,2,1563.02
10/7/2023 6:24:20 PM -04:00,Dallas Cowboys vs. Philadelphia Eagles,12/10/23 0:00,19:20:00,C113,15,2,1447.97
10/18/2023 9:36:13 AM -04:00,Dallas Cowboys vs. Philadelphia Eagles,12/10/23 0:00,19:20:00,127,21,2,595.3
10/13/2023 4:53:15 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,128,34,2,509
10/15/2023 1:48:40 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,C110,29,2,899
10/16/2023 7:36:15 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,310,15,2,394.91
10/3/2023 4:14:28 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,123,31,2,449
9/29/2023 1:11:03 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,316,12,2,379
9/14/2023 8:20:44 PM -04:00,Olivia Rodrigo,4/1/24 0:00,19:30:00,115,B,2,624.62
9/14/2023 8:25:02 AM -04:00,NBA Preseason: Boston Celtics vs. Philadelphia 76ers,10/8/23 0:00,18:00:00,324,12,2,38.71
9/14/2023 8:32:40 PM -04:00,Miami Dolphins vs. New England Patriots,10/29/23 0:00,13:00:00,356,21,2,147
9/22/2023 11:49:28 AM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,139,34,2,547.51
9/21/2023 2:21:15 AM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,128,29,2,490.7
9/24/2023 7:21:14 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,C113,26,1,1172.02
12/8/2023 4:26:13 AM -05:00,Golden State Warriors vs. Los Angeles Lakers,1/27/24 0:00,17:30:00,16,A5,2,3782.57
9/29/2023 12:05:40 PM -04:00,Miami Dolphins vs. Las Vegas Raiders,11/19/23 0:00,13:00:00,356,21,1,243.4
10/1/2023 5:22:21 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,128,34,2,526.81
10/2/2023 12:54:28 AM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,123,30,2,506.11
11/9/2023 11:04:17 AM -05:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,107,36,1,685.72
10/11/2023 12:57:57 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,336,15,2,449
11/10/2023 12:39:28 PM -05:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,312,15,2,607.24
10/25/2023 11:48:14 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,144,35,2,459
10/2/2023 6:49:28 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,139,34,2,464.71
10/18/2023 4:07:05 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,415,14,2,273.7
11/6/2023 11:45:01 AM -05:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,312,10,2,499
11/8/2023 10:26:13 AM -05:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,107,34,1,331.37
11/10/2023 10:18:00 AM -05:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,126,27,1,316.68
10/20/2023 2:28:59 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,434,12,2,281.93
10/17/2023 7:35:42 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,410,15,2,272.72
10/14/2023 10:50:40 AM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,140,31,2,399.8
10/6/2023 7:29:36 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,124,30,2,349
10/8/2023 2:36:21 AM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,441,14,2,272.72
9/23/2023 9:56:13 PM -04:00,Las Vegas Raiders vs. New York Giants,11/5/23 0:00,13:25:00,117,29,3,507.32
9/24/2023 7:26:13 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,C113,28,3,1318.65
9/24/2023 6:56:14 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,C113,27,1,1025.4
9/24/2023 1:51:13 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,129,32,2,558.15
10/22/2023 5:18:11 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,338,12,2,695.53
10/14/2023 6:08:47 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,336,14,2,440.47
10/11/2023 7:59:28 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,312,15,2,630.31
10/14/2023 1:15:33 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,412,19,4,449
11/13/2023 9:06:13 PM -05:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,310,14,2,468.22
9/24/2023 5:36:13 PM -04:00,Las Vegas Raiders vs. New England Patriots,10/15/23 0:00,13:05:00,117,27,2,419.35
9/21/2023 1:36:16 PM -04:00,Dallas Cowboys vs. New England Patriots,10/1/23 0:00,15:25:00,119,16,2,517.1
10/22/2023 8:48:05 PM -04:00,Dallas Cowboys vs. Los Angeles Rams,10/29/23 0:00,12:00:00,C138,19,2,734.77
9/22/2023 12:06:13 PM -04:00,Dallas Cowboys vs. Los Angeles Rams,10/29/23 0:00,12:00:00,144,20,2,390.02
10/3/2023 12:21:00 AM -04:00,Dallas Cowboys vs. Los Angeles Rams,10/29/23 0:00,12:00:00,127,20,2,406.03
9/27/2023 10:34:34 PM -04:00,Dallas Cowboys vs. Los Angeles Rams,10/29/23 0:00,12:00:00,C114,19,2,837.31
10/19/2023 2:11:17 PM -04:00,Dallas Cowboys vs. Seattle Seahawks,11/30/23 0:00,19:15:00,C109,20,2,976.52
11/13/2023 2:08:11 PM -05:00,Dallas Cowboys vs. Seattle Seahawks,11/30/23 0:00,19:15:00,C114,16,2,685.72
10/29/2023 8:59:16 AM -04:00,Dallas Cowboys vs. Seattle Seahawks,11/30/23 0:00,19:15:00,119,19,2,381.61
